case_id,packet_index,seed,error_mode,burst_length,detected_checksum,detected_crc10,detected_crc16,detected_crc32,time_checksum,time_crc10,time_crc16,time_crc32,detected_by,failed_by
15,2,8142041,burst,23,1,1,1,1,523,1946,498,387,"checksum,crc10,crc16,crc32",
15,3,8142041,burst,23,1,1,1,1,188,473,315,223,"checksum,crc10,crc16,crc32",
15,4,8142041,burst,23,1,1,1,1,720,1714,1218,1679,"checksum,crc10,crc16,crc32",
15,5,8142041,burst,23,1,1,1,1,479,1373,1032,1434,"checksum,crc10,crc16,crc32",
15,6,8142041,burst,23,1,1,1,1,391,1369,644,1516,"checksum,crc10,crc16,crc32",
15,7,8142041,burst,23,1,1,1,1,561,1322,625,1456,"checksum,crc10,crc16,crc32",
15,8,8142041,burst,23,1,1,1,1,341,1580,746,1513,"checksum,crc10,crc16,crc32",
15,9,8142041,burst,23,1,1,1,1,229,270,311,177,"checksum,crc10,crc16,crc32",
15,10,8142041,burst,23,1,1,1,1,469,1425,741,1456,"checksum,crc10,crc16,crc32",
16,0,8142042,burst,24,1,1,1,1,515,589,4107,332,"checksum,crc10,crc16,crc32",
16,1,8142042,burst,24,1,1,1,1,1883,1992,4154,2812,"checksum,crc10,crc16,crc32",
16,2,8142042,burst,24,1,1,1,1,485,1393,1250,1297,"checksum,crc10,crc16,crc32",
16,3,8142042,burst,24,1,1,1,1,349,1280,681,1235,"checksum,crc10,crc16,crc32",
16,4,8142042,burst,24,1,1,1,1,366,338,529,272,"checksum,crc10,crc16,crc32",
16,5,8142042,burst,24,1,1,1,1,183,113,355,174,"checksum,crc10,crc16,crc32",
16,6,8142042,burst,24,1,1,1,1,149,144,1866,175,"checksum,crc10,crc16,crc32",
16,7,8142042,burst,24,1,1,1,1,330,1392,2909,1259,"checksum,crc10,crc16,crc32",
16,8,8142042,burst,24,1,1,1,1,269,1321,2665,1273,"checksum,crc10,crc16,crc32",
16,9,8142042,burst,24,1,1,1,1,176,147,2393,395,"checksum,crc10,crc16,crc32",
16,10,8142042,burst,24,1,1,1,1,314,1230,1727,1643,"checksum,crc10,crc16,crc32",
17,0,8142043,burst,25,1,1,1,1,2193,692,600,1244,"checksum,crc10,crc16,crc32",
17,1,8142043,burst,25,1,1,1,1,959,3651,4088,2613,"checksum,crc10,crc16,crc32",
17,2,8142043,burst,25,1,1,1,1,328,417,613,282,"checksum,crc10,crc16,crc32",
17,3,8142043,burst,25,1,1,1,1,470,1477,935,1230,"checksum,crc10,crc16,crc32",
17,4,8142043,burst,25,1,1,1,1,240,1317,700,1257,"checksum,crc10,crc16,crc32",
17,5,8142043,burst,25,1,1,1,1,217,1289,644,1167,"checksum,crc10,crc16,crc32",
17,6,8142043,burst,25,1,1,1,1,227,159,470,163,"checksum,crc10,crc16,crc32",
17,7,8142043,burst,25,1,1,1,1,165,145,315,165,"checksum,crc10,crc16,crc32",
17,8,8142043,burst,25,1,1,1,1,139,145,310,147,"checksum,crc10,crc16,crc32",
17,9,8142043,burst,25,1,1,1,1,278,1254,940,1169,"checksum,crc10,crc16,crc32",
17,10,8142043,burst,25,1,1,1,1,298,1197,672,1210,"checksum,crc10,crc16,crc32",
18,0,8142044,burst,26,1,1,1,1,1690,5714,2152,3491,"checksum,crc10,crc16,crc32",
18,1,8142044,burst,26,1,1,1,1,2681,4325,1042,1808,"checksum,crc10,crc16,crc32",
18,2,8142044,burst,26,1,1,1,1,981,2150,462,1248,"checksum,crc10,crc16,crc32",
18,3,8142044,burst,26,1,1,1,1,2755,2042,442,1189,"checksum,crc10,crc16,crc32",
18,4,8142044,burst,26,1,1,1,1,2439,1962,397,1146,"checksum,crc10,crc16,crc32",
18,5,8142044,burst,26,1,1,1,1,741,1966,476,1138,"checksum,crc10,crc16,crc32",
18,6,8142044,burst,26,1,1,1,1,689,1931,468,1142,"checksum,crc10,crc16,crc32",
18,7,8142044,burst,26,1,1,1,1,695,1951,488,1180,"checksum,crc10,crc16,crc32",
18,8,8142044,burst,26,1,1,1,1,663,1958,387,1220,"checksum,crc10,crc16,crc32",
18,9,8142044,burst,26,1,1,1,1,458,734,398,311,"checksum,crc10,crc16,crc32",
18,10,8142044,burst,26,1,1,1,1,733,1990,513,1328,"checksum,crc10,crc16,crc32",
19,0,8142045,burst,27,1,1,1,1,1945,2293,1996,4094,"checksum,crc10,crc16,crc32",
19,1,8142045,burst,27,1,1,1,1,2574,1994,1052,1791,"checksum,crc10,crc16,crc32",
19,2,8142045,burst,27,1,1,1,1,498,1583,401,1161,"checksum,crc10,crc16,crc32",
19,3,8142045,burst,27,1,1,1,1,254,1457,390,1170,"checksum,crc10,crc16,crc32",
19,4,8142045,burst,27,1,1,1,1,275,1413,393,1142,"checksum,crc10,crc16,crc32",
19,5,8142045,burst,27,1,1,1,1,227,1399,5483,1146,"checksum,crc10,crc16,crc32",
19,6,8142045,burst,27,1,1,1,1,286,1401,3340,1241,"checksum,crc10,crc16,crc32",
19,7,8142045,burst,27,1,1,1,1,334,319,2934,312,"checksum,crc10,crc16,crc32",
19,8,8142045,burst,27,1,1,1,1,325,1395,2850,1208,"checksum,crc10,crc16,crc32",
19,9,8142045,burst,27,1,1,1,1,172,177,1604,164,"checksum,crc10,crc16,crc32",
19,10,8142045,burst,27,1,1,1,1,2068,163,1552,148,"checksum,crc10,crc16,crc32",
21,0,8142047,single_bit,0,1,1,1,1,1370,3991,2893,2861,"checksum,crc10,crc16,crc32",
21,1,8142047,single_bit,0,1,1,1,1,964,2576,2850,3258,"checksum,crc10,crc16,crc32",
21,2,8142047,single_bit,0,1,1,1,1,396,1894,899,1489,"checksum,crc10,crc16,crc32",
21,3,8142047,single_bit,0,1,1,1,1,213,1702,1079,1240,"checksum,crc10,crc16,crc32",
21,4,8142047,single_bit,0,1,1,1,1,274,1773,770,1182,"checksum,crc10,crc16,crc32",
21,5,8142047,single_bit,0,1,1,1,1,217,1621,2727,1218,"checksum,crc10,crc16,crc32",
21,6,8142047,single_bit,0,1,1,1,1,220,1617,1111,1186,"checksum,crc10,crc16,crc32",
21,7,8142047,single_bit,0,1,1,1,1,212,1602,1263,1193,"checksum,crc10,crc16,crc32",
21,8,8142047,single_bit,0,1,1,1,1,218,1581,1594,1248,"checksum,crc10,crc16,crc32",
21,9,8142047,single_bit,0,1,1,1,1,211,1588,487,1196,"checksum,crc10,crc16,crc32",
21,10,8142047,single_bit,0,1,1,1,1,221,1632,399,1205,"checksum,crc10,crc16,crc32",
22,0,8142048,single_bit,0,1,1,1,1,1135,2577,2492,6485,"checksum,crc10,crc16,crc32",
22,1,8142048,single_bit,0,1,1,1,1,1120,3190,2717,6016,"checksum,crc10,crc16,crc32",
22,2,8142048,single_bit,0,1,1,1,1,359,1817,938,4166,"checksum,crc10,crc16,crc32",
22,3,8142048,single_bit,0,1,1,1,1,267,2010,752,4398,"checksum,crc10,crc16,crc32",
22,4,8142048,single_bit,0,1,1,1,1,260,1967,755,1381,"checksum,crc10,crc16,crc32",
22,5,8142048,single_bit,0,1,1,1,1,266,1675,735,1265,"checksum,crc10,crc16,crc32",
22,6,8142048,single_bit,0,1,1,1,1,256,1653,726,1235,"checksum,crc10,crc16,crc32",
22,7,8142048,single_bit,0,1,1,1,1,211,5885,730,1270,"checksum,crc10,crc16,crc32",
22,8,8142048,single_bit,0,1,1,1,1,211,3952,903,1273,"checksum,crc10,crc16,crc32",
22,9,8142048,single_bit,0,1,1,1,1,310,3728,726,1323,"checksum,crc10,crc16,crc32",
22,10,8142048,single_bit,0,1,1,1,1,241,2579,2640,1265,"checksum,crc10,crc16,crc32",
23,0,8142049,burst,31,1,1,1,1,2214,2846,3272,2950,"checksum,crc10,crc16,crc32",
23,1,8142049,burst,31,1,1,1,1,4280,2948,2673,1980,"checksum,crc10,crc16,crc32",
23,2,8142049,burst,31,1,1,1,1,2414,894,623,382,"checksum,crc10,crc16,crc32",
23,3,8142049,burst,31,1,1,1,1,1800,1977,1082,1430,"checksum,crc10,crc16,crc32",
23,4,8142049,burst,31,1,1,1,1,2287,257,1504,204,"checksum,crc10,crc16,crc32",
23,5,8142049,burst,31,1,1,1,1,2352,225,383,173,"checksum,crc10,crc16,crc32",
23,6,8142049,burst,31,1,1,1,1,2329,173,267,134,"checksum,crc10,crc16,crc32",
23,7,8142049,burst,31,1,1,1,1,2350,169,269,136,"checksum,crc10,crc16,crc32",
23,8,8142049,burst,31,1,1,1,1,2338,201,2242,130,"checksum,crc10,crc16,crc32",
23,9,8142049,burst,31,1,1,1,1,2213,218,722,186,"checksum,crc10,crc16,crc32",
23,10,8142049,burst,31,1,1,1,1,2101,240,360,157,"checksum,crc10,crc16,crc32",
24,0,8142050,burst,32,1,1,1,1,1255,873,5052,1425,"checksum,crc10,crc16,crc32",
24,1,8142050,burst,32,1,1,1,1,1826,1691,3149,673,"checksum,crc10,crc16,crc32",
24,2,8142050,burst,32,1,1,1,1,408,461,660,189,"checksum,crc10,crc16,crc32",
24,3,8142050,burst,32,1,1,1,1,1638,3292,3861,3041,"checksum,crc10,crc16,crc32",
24,4,8142050,burst,32,1,1,1,1,415,426,2355,249,"checksum,crc10,crc16,crc32",
24,5,8142050,burst,32,1,1,1,1,267,314,1982,148,"checksum,crc10,crc16,crc32",
24,6,8142050,burst,32,1,1,1,1,709,2345,3764,1704,"checksum,crc10,crc16,crc32",
24,7,8142050,burst,32,1,1,1,1,517,4377,1135,1599,"checksum,crc10,crc16,crc32",
24,8,8142050,burst,32,1,1,1,1,334,1627,1982,268,"checksum,crc10,crc16,crc32",
24,9,8142050,burst,32,1,1,1,1,518,4269,3236,1670,"checksum,crc10,crc16,crc32",
24,10,8142050,burst,32,1,1,1,1,742,2451,3048,1620,"checksum,crc10,crc16,crc32",
25,0,8142051,burst,33,1,1,1,1,718,2414,638,736,"checksum,crc10,crc16,crc32",
25,1,8142051,burst,33,1,1,1,1,1358,2096,3802,7543,"checksum,crc10,crc16,crc32",
25,2,8142051,burst,33,1,1,1,1,415,310,538,609,"checksum,crc10,crc16,crc32",
25,3,8142051,burst,33,1,1,1,1,250,166,454,404,"checksum,crc10,crc16,crc32",
25,4,8142051,burst,33,1,1,1,1,179,132,377,1749,"checksum,crc10,crc16,crc32",
25,5,8142051,burst,33,1,1,1,1,143,128,459,399,"checksum,crc10,crc16,crc32",
25,6,8142051,burst,33,1,1,1,1,621,1559,1079,3080,"checksum,crc10,crc16,crc32",
25,7,8142051,burst,33,1,1,1,1,242,191,450,349,"checksum,crc10,crc16,crc32",
25,8,8142051,burst,33,1,1,1,1,203,123,396,512,"checksum,crc10,crc16,crc32",
25,9,8142051,burst,33,1,1,1,1,231,139,402,1707,"checksum,crc10,crc16,crc32",
25,10,8142051,burst,33,1,1,1,1,453,1476,763,4470,"checksum,crc10,crc16,crc32",
26,0,8142052,burst,34,1,1,1,1,529,1080,642,1154,"checksum,crc10,crc16,crc32",
26,1,8142052,burst,34,1,1,1,1,1793,3786,2226,491,"checksum,crc10,crc16,crc32",
26,2,8142052,burst,34,1,1,1,1,454,516,459,212,"checksum,crc10,crc16,crc32",
26,3,8142052,burst,34,1,1,1,1,1294,2509,2336,2888,"checksum,crc10,crc16,crc32",
26,4,8142052,burst,34,1,1,1,1,534,2013,1110,1212,"checksum,crc10,crc16,crc32",
26,5,8142052,burst,34,1,1,1,1,2346,1924,695,1180,"checksum,crc10,crc16,crc32",
26,6,8142052,burst,34,1,1,1,1,486,312,301,151,"checksum,crc10,crc16,crc32",
26,7,8142052,burst,34,1,1,1,1,711,1928,709,1199,"checksum,crc10,crc16,crc32",
26,8,8142052,burst,34,1,1,1,1,563,1952,643,1201,"checksum,crc10,crc16,crc32",
26,9,8142052,burst,34,1,1,1,1,561,3885,3239,1194,"checksum,crc10,crc16,crc32",
26,10,8142052,burst,34,1,1,1,1,757,2323,736,1292,"checksum,crc10,crc16,crc32",
27,0,8142053,burst,35,1,1,1,1,742,3718,844,1611,"checksum,crc10,crc16,crc32",
27,1,8142053,burst,35,1,1,1,1,3416,1954,530,1452,"checksum,crc10,crc16,crc32",
27,2,8142053,burst,35,1,1,1,1,1220,4175,1277,3305,"checksum,crc10,crc16,crc32",
27,3,8142053,burst,35,1,1,1,1,387,459,237,336,"checksum,crc10,crc16,crc32",
27,4,8142053,burst,35,1,1,1,1,584,2016,507,1633,"checksum,crc10,crc16,crc32",
27,5,8142053,burst,35,1,1,1,1,2429,1817,511,1878,"checksum,crc10,crc16,crc32",
27,6,8142053,burst,35,1,1,1,1,1537,1557,265,304,"checksum,crc10,crc16,crc32",
27,7,8142053,burst,35,1,1,1,1,2380,3555,470,1603,"checksum,crc10,crc16,crc32",
27,8,8142053,burst,35,1,1,1,1,1514,455,143,1407,"checksum,crc10,crc16,crc32",
27,9,8142053,burst,35,1,1,1,1,1037,1999,451,3629,"checksum,crc10,crc16,crc32",
